ano;idade;genero;inde_22;inde_23;inde_24;iaa;ieg;ips;ida;ipv;ian;ipp;fase_ideal;defasagem;risco
2022;14;0;5.6;;;0.0;5.3;6.3;3.9;6.96;10.0;;4;0;0
2022;14;0;7.5;;;8.3;8.2;5.6;5.4;7.88;10.0;;4;0;0
2022;15;1;6.82;;;8.3;5.9;7.5;6.2;7.67;5.0;;5;-1;1
2022;16;0;7.24;;;7.1;8.4;6.3;7.2;7.62;5.0;;6;-2;1
2022;14;0;5.06;;;7.9;3.4;7.5;1.8;4.96;10.0;;4;0;0
2022;16;1;7.08;;;7.9;8.6;5.6;6.5;7.29;5.0;;6;-2;1
2022;14;1;7.39;;;7.9;7.8;5.0;6.7;7.17;10.0;;4;0;0
2022;15;0;7.62;;;8.8;8.5;7.5;7.1;7.75;5.0;;5;-1;1
2022;15;1;6.29;;;7.1;5.8;7.5;4.4;7.42;5.0;;5;-1;1
2022;14;0;8.28;;;7.5;8.7;7.5;7.9;8.12;10.0;;4;0;0
2022;15;1;5.56;;;0.0;6.2;7.5;5.6;6.17;5.0;;5;-1;1
2022;15;1;6.93;;;6.7;6.4;7.5;6.7;7.79;5.0;;5;-1;1
2022;16;0;5.62;;;8.3;4.7;5.0;4.1;6.5;5.0;;6;-2;1
2022;15;0;7.17;;;8.8;9.0;5.6;5.6;7.75;5.0;;5;-1;1
2022;14;0;8.36;;;10.0;8.8;5.6;7.7;8.46;10.0;;4;0;0
2022;15;0;6.88;;;7.9;7.1;7.5;5.6;7.62;5.0;;5;-1;1
2022;15;0;6.61;;;8.8;6.8;7.5;4.7;7.38;5.0;;5;-1;1
2022;15;0;7.69;;;8.3;7.8;5.6;8.6;8.58;5.0;;5;-1;1
2022;15;1;6.48;;;10.0;6.3;7.5;4.6;6.67;5.0;;5;-1;1
2022;17;0;7.06;;;7.5;8.9;5.0;7.3;7.79;2.5;;7;-3;1
2022;15;1;6.74;;;9.6;8.0;5.6;5.6;6.38;5.0;;5;-1;1
2022;17;1;3.74;;;7.1;3.5;5.0;1.4;3.92;2.5;;7;-3;1
2022;14;0;7.41;;;7.9;7.6;6.9;5.7;7.67;10.0;;4;0;0
2022;14;1;7.12;;;9.2;8.2;5.6;5.7;5.92;10.0;;4;0;0
2022;14;0;7.46;;;6.7;8.6;5.6;6.3;7.58;10.0;;4;0;0
2022;13;1;8.64;;;8.3;9.9;5.6;7.9;9.5;10.0;;3;1;0
2022;14;0;8.18;;;7.5;9.3;5.0;7.9;8.29;10.0;;4;0;0
2022;16;1;5.85;;;0.0;6.3;8.1;5.2;7.25;5.0;;6;-2;1
2022;15;0;7.95;;;8.3;9.2;7.5;7.9;8.21;5.0;;5;-1;1
2022;14;0;7.54;;;8.3;7.7;7.5;6.1;7.25;10.0;;4;0;0
2022;14;1;7.89;;;9.2;7.9;10.0;5.3;7.71;10.0;;4;0;0
2022;15;0;6.32;;;9.2;6.5;7.5;5.0;6.12;5.0;;5;-1;1
2022;16;0;6.96;;;9.6;6.3;6.9;6.9;7.33;5.0;;6;-2;1
2022;16;0;7.56;;;8.8;7.5;6.9;8.3;7.96;5.0;;6;-2;1
2022;16;0;6.71;;;8.3;7.0;7.5;6.5;6.29;5.0;;6;-2;1
2022;14;0;7.54;;;7.9;8.2;5.0;6.6;7.71;10.0;;4;0;0
2022;15;1;6.07;;;8.3;6.1;6.3;4.0;6.83;5.0;;5;-1;1
2022;16;1;7.05;;;10.0;8.3;7.5;5.2;6.83;5.0;;6;-2;1
2022;15;1;7.36;;;10.0;8.3;9.4;4.4;7.79;5.0;;5;-1;1
2022;12;0;8.32;;;7.5;10.0;6.3;7.7;8.29;10.0;;3;1;0
2022;17;0;7.3;;;7.9;9.8;5.6;6.6;8.12;2.5;;7;-3;1
2022;15;0;6.49;;;8.3;8.1;5.6;4.7;6.46;5.0;;5;-1;1
2022;15;0;6.75;;;7.5;7.2;5.6;5.3;8.25;5.0;;5;-1;1
2022;11;0;7.96;;;7.9;9.1;5.6;6.9;8.08;10.0;;2;2;0
2022;14;0;7.22;;;6.7;8.5;7.5;5.5;6.54;10.0;;4;0;0
2022;15;0;6.8;;;8.8;7.9;5.6;6.7;6.5;5.0;;5;-1;1
2022;16;1;6.78;;;8.3;7.3;5.6;6.5;7.21;5.0;;6;-2;1
2022;14;0;8.06;;;7.1;9.8;5.6;7.6;7.5;10.0;;4;0;0
2022;14;1;8.25;;;9.2;9.0;6.3;8.1;7.54;10.0;;4;0;0
2022;16;0;7.8;;;9.2;9.7;5.6;7.9;7.83;5.0;;6;-2;1
2022;15;0;6.92;;;7.9;8.3;6.3;5.9;7.08;5.0;;5;-1;1
2022;15;0;5.16;;;7.5;5.1;6.3;3.2;4.79;5.0;;5;-1;1
2022;14;0;7.01;;;8.3;9.2;5.6;4.9;5.79;10.0;;4;0;0
2022;16;1;6.58;;;7.5;6.8;7.5;5.5;6.88;5.0;;6;-2;1
2022;14;0;8.67;;;9.2;8.9;9.4;7.3;8.92;10.0;;4;0;0
2022;17;1;7.82;;;8.3;9.2;6.9;7.9;9.25;2.5;;7;-3;1
2022;15;0;6.08;;;7.9;6.2;7.5;4.4;6.04;5.0;;5;-1;1
2022;15;0;6.75;;;8.3;9.2;5.6;5.9;5.83;5.0;;5;-1;1
2022;13;0;8.43;;;9.6;9.1;5.6;6.9;9.08;10.0;;3;0;0
2022;13;0;7.42;;;7.9;8.8;4.4;6.8;6.96;10.0;;3;0;0
2022;13;0;7.02;;;0.0;8.8;4.4;6.3;8.46;10.0;;3;0;0
2022;12;1;7.99;;;7.5;9.2;7.5;6.1;8.04;10.0;;3;0;0
2022;12;1;8.44;;;9.2;8.3;6.3;8.1;8.62;10.0;;3;0;0
2022;13;0;8.62;;;9.2;9.5;8.8;6.8;8.46;10.0;;3;0;0
2022;16;0;6.33;;;7.5;8.0;7.5;4.1;6.96;2.5;;6;-3;1
2022;13;0;7.3;;;8.3;8.8;7.5;3.8;7.25;10.0;;3;0;0
